engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v1_backtest_atr,FULL,FULL_R0.01_ATR1.25_RR3.0_DL3,1299,263,1036,20.25,-9999.43,0.57,-99.99,99.99,-7.6978,-1.0,,0.01,1.25,3.0,3.35,10.05,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR1.5_DL1,683,227,456,33.24,-9842.74,157.26,-98.43,98.55,-14.411,-0.9988,,0.01,1.5,1.5,4.3,6.44,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR1.5_DL2,1099,364,735,33.12,-9990.07,9.93,-99.9,99.91,-9.0901,-1.0,,0.01,1.5,1.5,4.28,6.41,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR1.5_DL3,1345,446,899,33.16,-9998.37,1.63,-99.98,99.98,-7.4337,-1.0,,0.01,1.5,1.5,4.08,6.11,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR1.75_DL1,661,200,461,30.26,-9819.46,180.54,-98.19,98.41,-14.8555,-0.9978,,0.01,1.5,1.75,4.25,7.44,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR1.75_DL2,1068,326,742,30.52,-9986.11,13.89,-99.86,99.87,-9.3503,-0.9999,,0.01,1.5,1.75,4.29,7.51,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR1.75_DL3,1310,400,910,30.53,-9997.6,2.4,-99.98,99.98,-7.6318,-1.0,,0.01,1.5,1.75,4.09,7.15,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR2.0_DL1,633,168,465,26.54,-9829.66,170.34,-98.3,98.43,-15.5287,-0.9987,,0.01,1.5,2.0,4.25,8.5,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR2.0_DL2,1030,275,755,26.7,-9988.48,11.52,-99.88,99.89,-9.6976,-0.9999,,0.01,1.5,2.0,4.24,8.48,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR2.0_DL3,1276,342,934,26.8,-9998.1,1.9,-99.98,99.98,-7.8355,-1.0,,0.01,1.5,2.0,4.08,8.17,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR2.5_DL1,614,144,470,23.45,-9778.15,221.85,-97.78,97.88,-15.9253,-0.999,,0.01,1.5,2.5,4.22,10.54,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR2.5_DL2,1004,241,763,24.0,-9979.7,20.3,-99.8,99.81,-9.9399,-0.9999,,0.01,1.5,2.5,4.24,10.6,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR2.5_DL3,1250,300,950,24.0,-9996.36,3.64,-99.96,99.97,-7.9971,-1.0,,0.01,1.5,2.5,4.12,10.29,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR3.0_DL1,600,126,474,21.0,-9735.3,264.7,-97.35,97.54,-16.2255,-0.9981,,0.01,1.5,3.0,4.2,12.59,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR3.0_DL2,979,208,771,21.25,-9974.37,25.63,-99.74,99.76,-10.1883,-0.9998,,0.01,1.5,3.0,4.24,12.71,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.5_RR3.0_DL3,1221,266,955,21.79,-9993.58,6.42,-99.94,99.94,-8.1848,-0.9999,,0.01,1.5,3.0,4.13,12.39,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR1.5_DL1,683,244,439,35.72,-9632.29,367.71,-96.32,96.78,-14.1029,-0.9952,,0.01,1.75,1.5,5.05,7.58,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR1.5_DL2,1071,389,682,36.32,-9945.33,54.67,-99.45,99.5,-9.286,-0.9995,,0.01,1.75,1.5,5.01,7.52,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR1.5_DL3,1286,465,821,36.16,-9984.41,15.59,-99.84,99.86,-7.7639,-0.9999,,0.01,1.75,1.5,4.84,7.27,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR1.75_DL1,647,201,446,31.07,-9659.64,340.36,-96.6,96.98,-14.9299,-0.996,,0.01,1.75,1.75,5.06,8.85,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR1.75_DL2,1023,326,697,31.87,-9950.7,49.3,-99.51,99.56,-9.727,-0.9995,,0.01,1.75,1.75,4.96,8.69,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR1.75_DL3,1247,398,849,31.92,-9986.22,13.78,-99.86,99.88,-8.0082,-0.9999,,0.01,1.75,1.75,4.86,8.5,3
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR2.0_DL1,636,187,449,29.4,-9568.74,431.26,-95.69,96.14,-15.0452,-0.9953,,0.01,1.75,2.0,5.08,10.15,1
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR2.0_DL2,1012,310,702,30.63,-9917.88,82.12,-99.18,99.25,-9.8003,-0.9992,,0.01,1.75,2.0,5.0,10.01,2
v1_backtest_atr,FULL,FULL_R0.01_ATR1.75_RR2.0_DL3,1232,376,856,30.52,-9975.33,24.67,-99.75,99.77,-8.0969,-0.9998,,0.01,1.75,2.0,4.9,9.8,3
