engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR2.0_DL3,27509,138,2639,0.5,-10067.93,-67.93,-100.68,100.68,-0.366,-1.0,,0.01,1.0,2.0,4.62,9.24,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR2.5_DL1,153466,625,24949,0.41,-336558.98,-326558.98,-3365.59,3365.59,-2.1931,-1.0,,0.01,1.0,2.5,4.3,10.77,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR2.5_DL2,52219,207,7223,0.4,-10253.93,-253.92,-102.54,102.54,-0.1964,-1.0,,0.01,1.0,2.5,4.69,11.73,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR2.5_DL3,27748,76,2670,0.27,-10073.01,-73.01,-100.73,100.73,-0.363,-1.0,,0.01,1.0,2.5,4.62,11.55,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR3.0_DL1,153926,367,24599,0.24,-347118.29,-337118.29,-3471.18,3471.18,-2.2551,-1.0,,0.01,1.0,3.0,4.33,12.99,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR3.0_DL2,51667,122,7235,0.24,-10260.51,-260.5,-102.61,102.6,-0.1986,-1.0,,0.01,1.0,3.0,4.46,13.39,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.0_RR3.0_DL3,28456,45,2669,0.16,-10078.04,-78.04,-100.78,100.78,-0.3542,-1.0,,0.01,1.0,3.0,5.1,15.29,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR1.5_DL1,148545,2269,22635,1.53,-71729.48,-61729.48,-717.29,717.3,-0.4829,-1.0,,0.01,1.25,1.5,4.44,6.65,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR1.5_DL2,53688,562,5667,1.05,-10178.27,-178.27,-101.78,101.78,-0.1896,-1.0,,0.01,1.25,1.5,6.46,9.69,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR1.5_DL3,29125,227,2095,0.78,-10041.86,-41.86,-100.42,100.42,-0.3448,-1.0,,0.01,1.25,1.5,5.36,8.04,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR1.75_DL1,151623,1348,20942,0.89,-76570.85,-66570.85,-765.71,765.71,-0.505,-1.0,,0.01,1.25,1.75,4.67,8.17,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR1.75_DL2,54365,390,5734,0.72,-10190.19,-190.19,-101.9,101.9,-0.1874,-1.0,,0.01,1.25,1.75,6.48,11.35,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR1.75_DL3,29668,165,2137,0.56,-10046.08,-46.08,-100.46,100.46,-0.3386,-1.0,,0.01,1.25,1.75,5.45,9.54,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR2.0_DL1,153103,1021,22695,0.67,-188862.98,-178862.98,-1888.63,1888.63,-1.2336,-1.0,,0.01,1.25,2.0,4.51,9.03,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR2.0_DL2,54784,284,5767,0.52,-10195.42,-195.42,-101.95,101.95,-0.1861,-1.0,,0.01,1.25,2.0,6.47,12.95,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR2.0_DL3,29911,121,2197,0.4,-10054.87,-54.87,-100.55,100.55,-0.3362,-1.0,,0.01,1.25,2.0,5.44,10.87,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR2.5_DL1,153668,491,21102,0.32,-199290.7,-189290.7,-1992.91,1992.91,-1.2969,-1.0,,0.01,1.25,2.5,4.71,11.79,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR2.5_DL2,52902,167,5944,0.32,-10210.04,-210.04,-102.1,102.1,-0.193,-1.0,,0.01,1.25,2.5,5.14,12.86,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR2.5_DL3,33623,58,2164,0.17,-10058.21,-58.21,-100.58,100.58,-0.2991,-1.0,,0.01,1.25,2.5,7.72,19.29,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR3.0_DL1,153926,293,20694,0.19,-206337.29,-196337.29,-2063.37,2063.37,-1.3405,-1.0,,0.01,1.25,3.0,4.75,14.28,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR3.0_DL2,52907,103,5946,0.19,-10214.65,-214.65,-102.15,102.15,-0.1931,-1.0,,0.01,1.25,3.0,5.14,15.43,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.25_RR3.0_DL3,33638,36,2170,0.11,-10060.75,-60.75,-100.61,100.61,-0.2991,-1.0,,0.01,1.25,3.0,7.71,23.14,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR1.5_DL1,146611,1804,18073,1.23,-12803.29,-2803.29,-128.03,128.03,-0.0873,-1.0,,0.01,1.5,1.5,5.09,7.65,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR1.5_DL2,57240,459,4604,0.8,-10145.3,-145.3,-101.45,101.45,-0.1772,-1.0,,0.01,1.5,1.5,7.86,11.79,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR1.5_DL3,37642,185,1661,0.49,-10028.71,-28.71,-100.29,100.29,-0.2664,-1.0,,0.01,1.5,1.5,9.48,14.23,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR1.75_DL1,151049,1188,18840,0.79,-14615.63,-4615.63,-146.16,146.16,-0.0968,-1.0,,0.01,1.5,1.75,5.02,8.79,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR1.75_DL2,58183,302,4559,0.52,-10150.39,-150.39,-101.5,101.5,-0.1745,-1.0,,0.01,1.5,1.75,7.97,13.95,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR1.75_DL3,37696,134,1674,0.36,-10032.74,-32.74,-100.33,100.33,-0.2661,-1.0,,0.01,1.5,1.75,9.47,16.57,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR2.0_DL1,152525,736,16982,0.48,-21142.9,-11142.9,-211.43,211.43,-0.1386,-1.0,,0.01,1.5,2.0,5.4,10.79,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR2.0_DL2,56012,242,4686,0.43,-10158.24,-158.24,-101.58,101.58,-0.1814,-1.0,,0.01,1.5,2.0,6.31,12.63,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR2.0_DL3,38402,91,1738,0.24,-10037.68,-37.68,-100.38,100.38,-0.2614,-1.0,,0.01,1.5,2.0,9.41,18.82,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR2.5_DL1,153807,355,15896,0.23,-122946.13,-112946.13,-1229.46,1229.46,-0.7994,-1.0,,0.01,1.5,2.5,5.35,13.39,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR2.5_DL2,57317,139,4720,0.24,-10166.46,-166.45,-101.66,101.66,-0.1774,-1.0,,0.01,1.5,2.5,6.4,15.99,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR2.5_DL3,38671,58,1748,0.15,-10041.47,-41.47,-100.41,100.41,-0.2597,-1.0,,0.01,1.5,2.5,9.42,23.55,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR3.0_DL1,154087,230,15922,0.15,-124572.36,-114572.36,-1245.72,1245.72,-0.8085,-1.0,,0.01,1.5,3.0,5.35,16.04,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR3.0_DL2,57405,88,4726,0.15,-10171.67,-171.67,-101.72,101.72,-0.1772,-1.0,,0.01,1.5,3.0,6.4,19.2,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.5_RR3.0_DL3,38681,35,1752,0.09,-10043.16,-43.16,-100.43,100.43,-0.2596,-1.0,,0.01,1.5,3.0,9.42,28.27,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR1.5_DL1,146669,1575,15947,1.07,-22157.31,-12157.31,-221.57,221.57,-0.1511,-1.0,,0.01,1.75,1.5,5.52,8.28,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR1.5_DL2,60490,357,3481,0.59,-10105.2,-105.2,-101.05,101.05,-0.1671,-1.0,,0.01,1.75,1.5,9.19,13.78,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR1.5_DL3,43196,146,1239,0.34,-10010.46,-10.46,-100.1,100.1,-0.2317,-1.0,,0.01,1.75,1.5,10.69,16.04,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR1.75_DL1,151747,754,12041,0.5,-29692.06,-19692.06,-296.92,296.92,-0.1957,-1.0,,0.01,1.75,1.75,6.21,10.86,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR1.75_DL2,59513,249,3505,0.42,-10111.36,-111.35,-101.11,101.11,-0.1699,-1.0,,0.01,1.75,1.75,7.64,13.37,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR1.75_DL3,44626,97,1247,0.22,-10016.0,-16.0,-100.16,100.16,-0.2244,-1.0,,0.01,1.75,1.75,10.75,18.82,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR2.0_DL1,151971,547,12597,0.36,-26324.87,-16324.87,-263.25,263.25,-0.1732,-1.0,,0.01,1.75,2.0,6.1,12.18,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR2.0_DL2,59785,191,3510,0.32,-10116.47,-116.47,-101.16,101.16,-0.1692,-1.0,,0.01,1.75,2.0,7.66,15.33,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR2.0_DL3,45253,79,1315,0.17,-10019.7,-19.7,-100.2,100.2,-0.2214,-1.0,,0.01,1.75,2.0,10.78,21.57,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR2.5_DL1,152259,309,13154,0.2,-29242.81,-19242.81,-292.43,292.43,-0.1921,-1.0,,0.01,1.75,2.5,5.82,14.54,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR2.5_DL2,61317,113,3588,0.18,-10127.43,-127.43,-101.27,101.28,-0.1652,-1.0,,0.01,1.75,2.5,7.69,19.23,2
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR2.5_DL3,46102,48,1327,0.1,-10023.18,-23.18,-100.23,100.23,-0.2174,-1.0,,0.01,1.75,2.5,10.76,26.91,3
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR3.0_DL1,153455,269,16766,0.18,-55063.02,-45063.02,-550.63,550.63,-0.3588,-1.0,,0.01,1.75,3.0,5.61,16.81,1
v2_backtest_atr_adx,RANGE_ONLY,RANGE_ONLY_R0.01_ATR1.75_RR3.0_DL2,62908,71,3592,0.11,-10134.39,-134.39,-101.34,101.34,-0.1611,-1.0,,0.01,1.75,3.0,7.85,23.55,2
